part_num,part_name,part_cat_id,year_from,year_to,part_url,part_img_url,prints,molds,alternates,print_of,external_ids.BrickLink,external_ids.BrickOwl,external_ids.Brickset,external_ids.LDraw,external_ids.LEGO,external_ids.Peeron,category_name,dim1,dim2,dim3,bracket_info
3034,Plate 2 x 8,14,1961,2025,https://rebrickable.com/parts/3034/plate-2-x-8/,https://cdn.rebrickable.com/media/parts/elements/303426.jpg,['3034pr0001'],['3034a'],['3738'],,['3034'],['165861'],['3034'],['3034'],['3034'],,Plates,2,8,,
4081b,"Plate Special 1 x 1 with Clip Light, Bar Hole [Thick Ring]",9,1984,2025,https://rebrickable.com/parts/4081b/plate-special-1-x-1-with-clip-light-bar-hole-thick-ring/,https://cdn.rebrickable.com/media/parts/elements/408126.jpg,[],[],['4081a'],,['4081b'],['194287'],"['4018', '4081', '41632']",['4081b'],"['4081', '41632']",,Plates Special,1,1,,Thick Ring
2419,Wedge Plate 3 x 6 Cut Corners,49,1987,2025,https://rebrickable.com/parts/2419/wedge-plate-3-x-6-cut-corners/,https://cdn.rebrickable.com/media/parts/elements/241926.jpg,[],[],[],,['2419'],['919162'],"['2419', '43127']",['2419'],"['2419', '43127']",,Plates Angled,3,6,,
51739,Wedge Plate 2 x 4,49,2005,2025,https://rebrickable.com/parts/51739/wedge-plate-2-x-4/,https://cdn.rebrickable.com/media/parts/elements/4252368.jpg,[],[],[],,['51739'],['668278'],['51739'],['51739'],['51739'],,Plates Angled,2,4,,
41769,Wedge Plate 4 x 2 Right,49,2001,2025,https://rebrickable.com/parts/41769/wedge-plate-4-x-2-right/,https://cdn.rebrickable.com/media/parts/elements/4160869.jpg,[],[],[],,['41769'],['886867'],"['41769', '63330']",['41769'],"['41769', '63330']",,Plates Angled,4,2,,
41770,Wedge Plate 4 x 2 Left,49,2001,2025,https://rebrickable.com/parts/41770/wedge-plate-4-x-2-left/,https://cdn.rebrickable.com/media/parts/elements/4161332.jpg,[],[],[],,['41770'],['44432'],"['41770', '63333']",['41770'],"['41770', '63333']",,Plates Angled,4,2,,
3794a,Plate Special 1 x 2 with 1 Stud without Groove (Jumper),9,1978,2014,https://rebrickable.com/parts/3794a/plate-special-1-x-2-with-1-stud-without-groove-jumper/,https://cdn.rebrickable.com/media/parts/ldraw/0/3794a.png,[],"['15573', '3794b']",[],,['3794a'],['232955'],['3794'],['3794a'],['3794'],['3794'],Plates Special,1,2,,
4032b,Plate Round 2 x 2 with Axle Hole Type 2 (X Opening),21,2003,2021,https://rebrickable.com/parts/4032b/plate-round-2-x-2-with-axle-hole-type-2-x-opening/,https://cdn.rebrickable.com/media/parts/ldraw/4/4032b.png,[],['4032a'],[],,['4032'],['265581'],['4032'],['4032b'],['4032'],,Plates Round Curved and Dishes,2,2,,
2412b,Tile Special 1 x 2 Grille with Bottom Groove,15,1990,2025,https://rebrickable.com/parts/2412b/tile-special-1-x-2-grille-with-bottom-groove/,https://cdn.rebrickable.com/media/parts/elements/241226.jpg,[],['2412a'],[],,['2412b'],['363948'],"['15561', '2412', '30244', '35248', '51815', '71957', '72582', '78812']",['2412b'],"['15561', '2412', '30244', '35248', '51815', '71957', '72582', '78812']",,Tiles Special,1,2,,
6141,Plate Round 1 x 1 with Solid Stud,21,1980,2025,https://rebrickable.com/parts/6141/plate-round-1-x-1-with-solid-stud/,https://cdn.rebrickable.com/media/parts/elements/614126.jpg,[],[],['85861'],,['4073'],['961948'],"['15570', '30057', '34823', '39799', '44325', '6141']","['4073', '6141']","['15570', '30057', '34823', '39799', '44325', '51809', '6141']",['4073'],Plates Round Curved and Dishes,1,1,,
3062b,Brick Round 1 x 1 Open Stud,20,1978,2025,https://rebrickable.com/parts/3062b/brick-round-1-x-1-open-stud/,https://cdn.rebrickable.com/media/parts/elements/306201.jpg,"['3062bpr0023', '3062bpr0018', '3062bpr0019', '3062bpr0045', '3062bpr0003', '3062bpr0027', '3062bpr0013', '3062bpr0024', '3062bpr0017', '3062bpr0047', '3062bpr0029', '3062bpr0005', '3062bpr0028', '3062bpr9998', '3062bpr0034', '3062bpr0001', '3062bpr0022', '3062bpr0043', '3062bpr0037', '3062bpr9965', '3062bpr0011', '3062bpr0012', '3062bpr0014', '3062bpr0020', '3062bpr0021', '3062bpr0030', '3062bpr9967', '3062bpr9970', '3062bpr9972', '3062bpr9973', '3062bpr9975', '3062bpr9976', '3062bpr9977', '3062bpr9978', '3062bpr9980', '3062bpr9981', '3062bpr9983', '3062bpr9984', '3062bpr9985', '3062bpr9986', '3062bpr9987', '3062bpr9988', '3062bpr9989', '3062bpr9993', '3062bpr9994', '3062bpr9995', '3062bpr9997', '3062bpr9974', '3062bpr9982', '3062bpr9991', '3062bpr9996', '3062bpr0032', '3062bpr0031', '3062bpr0041', '3062bpr0038', '3062bpr0039', '3062bpr0044', '3062bpr0046', '3062bpr9964', '3062bpr0048', '3062bpr0049', '3062bpr9999', '3062bpr0004', '3062bpr9968', '3062bpr0042', '3062bpr0040', '3062bpr0036', '3062bpr9971', '3062bpr9966', '3062bpr0015', '3062bpr9990', '3062bpr0006', '3062bpr0007', '3062bpr9992', '3062bpr0002', '3062bpr9969', '3062bpr9979', '3062bpr0008', '3062bpr0009', '3062bpr0010']",[],['3062a'],,['3062'],['763649'],"['18860', '30068', '3062', '35390']","['30068', '3062b']","['18860', '30068', '3062', '35390']",,Bricks Round and Cones,1,1,,
3022,Plate 2 x 2,14,1962,2025,https://rebrickable.com/parts/3022/plate-2-x-2/,https://cdn.rebrickable.com/media/parts/elements/302226.jpg,[],[],[],,['3022'],['566026'],"['3022', '94148']","['3022', '94148']","['3022', '94148']",,Plates,2,2,,
3023,Plate 1 x 2,14,1962,2025,https://rebrickable.com/parts/3023/plate-1-x-2/,https://cdn.rebrickable.com/media/parts/elements/302326.jpg,"['3023pr0005', '3023pr0001', '3023pr0002', '3023pr0003', '3023pr9997', '3023pr0006', '3023pr0004', '3023pr9998', '3023pr0010', '3023pr0009', '3023pr0011']",['3023a'],[],,['3023'],['44980'],"['28653', '3023', '6225']","['28653', '3023b']","['28653', '3023', '6225']",,Plates,1,2,,
63864,Tile 1 x 3,19,2010,2025,https://rebrickable.com/parts/63864/tile-1-x-3/,https://cdn.rebrickable.com/media/parts/elements/4558169.jpg,"['63864pr0012', '63864pr0009', '63864pr0010', '63864pr0008', '63864pr0018', '63864pr0006', '63864pr0044', '63864pr0004', '63864pr0026', '63864pr0027', '63864pr0005', '63864pr0003', '63864pr0002', '63864pr0011', '63864pr0020', '63864pr0016', '63864pr0019', '63864pr0022', '63864pr0029', '63864pr0030', '63864pr0017', '63864pr0031', '63864pr0024', '63864pr0025', '63864pr0028', '63864pr0033', '63864pr0032', '63864pr0035', '63864pr0034', '63864pr0039', '63864pr0041', '63864pr0059', '63864pr0042', '63864pr0043', '63864pr0045', '63864pr0046', '63864pr0047', '63864pr0049', '63864pr0048', '63864pr0050', '63864pr0051', '63864pr0054', '63864pr0060', '63864pr9999', '63864pr9996', '63864pr0056', '63864pr0055', '63864pr0057', '63864pr9993', '63864pr9992', '63864pr0061', '63864pr0062', '63864pr0063', '63864pr0013', '63864pr0058', '63864pr0001', '63864pr0007']",[],[],,['63864'],['276668'],"['37294', '63864']",['63864'],"['37294', '63864']",,Tiles,1,3,,
3623,Plate 1 x 3,14,1977,2025,https://rebrickable.com/parts/3623/plate-1-x-3/,https://cdn.rebrickable.com/media/parts/elements/362326.jpg,"['3623pr0014', '3623pr0027', '3623pr0028', '3623pr0020', '3623pr0018', '3623pr0021', '3623pr0024', '3623pr0019', '3623pr0023', '3623pr0022', '3623pr0030', '3623pr0031', '3623pr0025', '3623pr0026', '3623pr0032', '3623pr0011', '3623pr0008', '3623pr0010', '3623pr0009', '3623pr9999', '3623pr9998', '3623pr0029', '3623pr0013', '3623pr0012']",[],[],,['3623'],['212990'],['3623'],['3623'],['3623'],,Plates,1,3,,
61409,Slope 18° 2 x 1 x 2/3 with 4 Slots / Grate,3,2008,2025,https://rebrickable.com/parts/61409/slope-18-2-x-1-x-23-with-4-slots-grate/,https://cdn.rebrickable.com/media/parts/elements/4540386.jpg,[],[],[],,['61409'],['912280'],"['18863', '61409', '67119']",['61409b'],"['18863', '61409', '67119']",,Bricks Sloped,2,1,2/3,
3024,Plate 1 x 1,14,1962,2025,https://rebrickable.com/parts/3024/plate-1-x-1/,https://cdn.rebrickable.com/media/parts/elements/302401.jpg,"['3024pr0013', '3024pr0012', '3024pr0001', '3024pr0016', '3024pr0026', '3024pr0038', '3024pr0020', '3024pr0005', '3024pr0021', '3024pr0011', '3024pr0006', '3024pr0009', '3024pr0022', '3024pr0035', '3024pr0029', '3024pr0031', '3024pr0036', '3024pr0039', '3024pr0040', '3024pr0041', '3024pr0008', '3024pr0042', '3024pr0007', '3024pr0003', '3024pr0004', '3024pr0014', '3024pr0024', '3024pr0015', '3024pr0019', '3024pr0018', '3024pr0025', '3024pr0023', '3024pr0027', '3024pr0034']",[],[],,['3024'],['322944'],"['28554', '30008', '3024', '63326']",['3024'],"['28554', '30008', '3024', '63326']",['30008'],Plates,1,1,,
54200,Slope 30° 1 x 1 x 2/3 (Cheese Slope),3,2004,2025,https://rebrickable.com/parts/54200/slope-30-1-x-1-x-23-cheese-slope/,https://cdn.rebrickable.com/media/parts/elements/4263949.jpg,"['54200pr0004', '54200pr0005', '54200pr0003', '54200pr0001', '54200pr0006', '54200pr0007', '54200pr0013', '54200pr0014', '54200pr0017', '54200pr0015', '54200pr0016', '54200pr0010', '54200pr0008', '54200pr0020', '54200pr0018', '54200pr0022', '54200pr0019', '54200pr0021', '54200pr0027', '54200pr0023', '54200pr0024', '54200pr0025', '54200pr0026', '54200pr0028', '54200pr0009', '54200pr0029', '54200pr0002']",[],[],,['54200'],['158788'],"['18862', '33847', '35338', '50746', '54200', '63290']",['54200'],"['18862', '33847', '35338', '50746', '54200', '63290']",,Bricks Sloped,1,1,2/3,
3040b,Slope 45° 2 x 1 with Bottom Pin,3,1978,2025,https://rebrickable.com/parts/3040b/slope-45-2-x-1-with-bottom-pin/,https://cdn.rebrickable.com/media/parts/elements/304001.jpg,"['3040bpr0003', '3040bpr0013', '3040bpr0011', '3040bpr0010', '3040bpr0006', '3040bpr0004', '3040bpr0008', '3040bpr0012', '3040bpr0007', '3040bpr0009', '3040bpr0002', '3040bpr9999', '3040bpr9998', '3040bpr0001', '3040bpr0005']",['3040a'],[],,['3040'],['735007'],"['3040', '35281', '6270']",['3040b'],"['3040', '35281', '6270']",,Bricks Sloped,2,1,,
30162,Equipment Binoculars,27,1998,2025,https://rebrickable.com/parts/30162/equipment-binoculars/,https://cdn.rebrickable.com/media/parts/elements/4211051.jpg,[],[],[],,['30162'],['353715'],"['30162', '90465']",['30162'],"['30162', '90465']",,Minifig Accessories,,,,
