id,name,part_count
1,Baseplates,243
3,Bricks Sloped,598
4,"Duplo, Quatro and Primo",5104
5,Bricks Special,315
6,Bricks Wedged,312
7,Containers,189
8,Technic Bricks,28
9,Plates Special,448
11,Bricks,1715
12,Technic Connectors,115
13,Minifigs,579
14,Plates,129
15,Tiles Special,482
16,Windows and Doors,457
17,Gear Parts,3861
18,"Hinges, Arms and Turntables",242
19,Tiles,3244
20,Bricks Round and Cones,548
21,Plates Round Curved and Dishes,338
22,Pneumatics,34
23,Panels,384
24,Other,38
25,"Technic Steering, Suspension and Engine",125
26,Technic Special,205
27,Minifig Accessories,713
28,Animals / Creatures,826
29,Wheels and Tyres,390
30,Tubes and Hoses,196
31,"String, Bands and Reels",132
32,"Bars, Ladders and Fences",134
33,Rock,56
34,"Supports, Girders and Cranes",93
35,Transportation - Sea and Air,453
36,Transportation - Land,539
37,Bricks Curved,839
38,"Flags, Banners and Signs",385
39,Magnets and Holders,40
40,Technic Panels,150
41,Large Buildable Figures,1398
42,"Belville, Scala and Fabuland",709
43,Znap,22
44,Mechanical,28
45,Electronics,554
46,Technic Axles,27
47,Windscreens and Fuselage,478
48,Clikits,412
49,Plates Angled,78
50,HO Scale,103
51,Technic Beams,50
52,Technic Gears,104
53,Technic Pins,34
54,Technic Bushes,7
55,Technic Beams Special,41
56,Tools,21
57,"Non-Buildable Figures (Duplo, Fabuland, etc)",1224
58,Stickers,4357
59,Minifig Heads,5008
60,Minifig Upper Body,7226
61,Minifig Lower Body,2968
62,Minidoll Heads,436
63,Minidoll Upper Body,727
64,Minidoll Lower Body,513
65,Minifig Headwear,2079
66,Modulex,1181
67,Tiles Round and Curved,1109
68,Projectiles / Launchers,218
69,Energy Effects,92
70,Minifig Hipwear,119
71,Minifig Neckwear,586
72,Minifig Headwear Accessories,154
73,"Minifig Shields, Weapons, & Tools",540
74,Animal / Creature Accessories,68
75,Animal / Creature Body Parts,911
76,Plants & Trees,130
77,Non-System Parts,319
78,Pen & Watch,585
